id,exerciseId,ratingELO
49618,1973,168
48710,1974,170
47532,1975,170
47749,1976,190
66103,1977,179
46212,1978,150
45820,1979,138
48932,1981,178
64762,1982,184
64092,1983,187
62972,1984,198
64650,1985,194
66066,1986,191
66125,1987,183
65954,1988,181
65997,1989,160
64118,1990,195
65135,1991,181
63721,1992,189
64763,1993,196
64422,1994,199
64912,1995,165
50418,1996,197
64054,1997,192
63026,1998,196
66126,1999,184
66127,2000,185
65586,2001,181
65738,2002,191
64127,2003,199
66104,2004,188
66128,2005,186
66172,2006,164
66105,2007,149
64610,2008,200
66162,2009,191
65957,2010,191
65740,2011,184
66149,2012,193
66130,2013,185
65106,2014,198
65412,2015,190
65413,2016,182
64056,2017,189
64624,2018,170
65959,2019,183
65400,2020,185
65138,2021,184
49473,2027,153
63839,2028,199
64653,2029,181
64914,2030,191
61721,2031,182
65387,2032,175
65961,2033,191
62392,2034,182
61112,2035,210
65107,2036,183
65121,2037,185
62471,2038,188
47733,2039,193
66003,2040,174
49438,2041,174
64932,2042,194
46284,2043,168
47499,2044,194
46161,2045,164
64260,2046,193
66004,2047,189
66005,2048,162
65588,2049,190
66151,2050,179
64707,2051,183
49380,2052,167
49397,2053,158
64429,2054,191
47955,2055,155
47619,2056,156
47634,2057,110
49357,2058,190
49343,2059,171
49372,2060,179
49358,2061,160
51008,2062,202
63733,2063,202
64875,2064,194
47837,2065,166
64748,2066,190
66163,2067,189
66083,2068,191
66132,2069,184
49048,2070,158
56631,2071,201
48050,2072,153
48032,2073,183
63691,2074,180
47527,2075,176
48193,2076,195
50429,2077,197
64654,2078,187
50783,2079,201
66133,2080,190
66152,2081,175
47966,2082,194
64430,2083,183
64408,2084,192
65590,2085,202
66110,2086,190
66153,2087,196
66154,2088,182
66010,2089,190
65489,2090,189
63976,2091,196
49510,2092,188
48584,2093,161
64018,2094,184
47601,2095,171
66134,2096,201
65752,2097,200
66111,2098,183
66135,2099,176
64655,2100,192
51029,2101,194
66136,2102,181
66073,2103,177
66074,2104,205
65921,2105,183
49359,2106,170
64749,2107,176
48718,2108,175
64661,2109,196
48236,2110,178
63214,2111,188
63965,2112,183
64656,2113,189
66137,2114,189
66138,2115,195
65940,2116,181
65966,2117,173
65382,2118,167
65411,2119,173
64137,2120,182
64138,2121,194
48700,2122,148
50437,2123,201
64434,2124,198
64647,2125,183
65745,2126,181
64899,2127,190
64021,2128,172
49374,2129,153
65593,2130,188
66155,2131,175
65942,2132,176
48017,2133,170
48650,2134,165
63821,2135,195
50993,2136,197
63127,2137,181
62659,2138,201
65141,2139,192
64218,2140,199
64040,2141,190
64413,2142,192
66164,2143,195
48671,2144,177
66114,2145,188
63967,2146,185
60413,2147,204
66185,2148,193
65967,2149,173
65385,2150,175
63693,2151,175
66140,2152,182
66088,2153,180
65968,2154,196
65755,2155,197
65240,2156,188
65756,2157,177
65389,2158,190
65490,2159,195
65414,2160,177
206,2163,201
115,2166,201
207,2169,201
156,2171,201
108,2188,201
170,2190,201
224,2196,201
24,2201,201
192,2210,202
193,2213,201
172,2217,201
173,2218,201
49879,2221,208
25,2223,201
49919,2226,202
130,2228,202
49949,2229,194
50840,2230,201
66,2233,202
132,2234,203
56283,2303,200
46456,2315,198
60884,2318,184
47364,2319,204
63408,2320,201
63296,2321,191
52225,2322,185
47066,2323,190
60371,2324,201
60681,2326,202
43412,2328,203
48663,2335,198
58265,2338,201
50986,2343,202
56469,2346,200
60407,2353,197
56266,2357,200
47630,2361,190
54255,2362,201
56200,2363,200
58985,2364,196
60925,2365,200
58266,2366,202
59001,2369,196
43353,2371,196
47442,2372,185
40310,2374,194
48695,2381,180
56515,2382,200
56495,2383,191
58514,2384,196
48807,2385,165
60446,2386,197
47067,2413,194
60359,2419,196
47570,2421,188
63756,2436,200
42435,2437,202
57728,2438,202
43391,2439,176
60907,2440,196
48607,2441,200
48608,2442,193
59903,2478,205
63294,2479,193
63219,2481,200
38093,2484,192
49433,2496,202
42464,2497,197
58499,2498,200
58534,2499,193
58500,2500,196
47455,2501,201
46814,2502,173
50826,2503,197
49504,2504,163
45569,2505,149
48969,2506,188
26553,2507,197
49592,2508,161
50776,2509,201
64044,2510,194
43427,2511,163
49525,2512,182
65433,2513,176
62595,2514,202
65251,2515,196
63879,2516,203
64872,2517,187
66096,2518,191
66097,2519,197
47629,2520,186
49516,2521,139
66171,2522,191
65951,2523,175
61707,2524,198
65132,2525,181
65409,2526,194
49367,3055,193
29404,3056,202
28536,3057,204
66046,3058,190
48678,3059,168
48820,3060,202
65894,3061,197
65508,3062,187
49591,3063,148
62776,3064,196
51022,3065,202
48804,3066,171
48738,3067,157
64480,3068,184
50860,3069,201
47454,3070,197
49482,3071,180
65994,3072,179
50483,3073,202
64397,3074,203
48654,3075,174
64418,3076,192
66147,3077,187
47521,3078,158
48686,3079,180
46391,3080,166
50861,3081,197
65133,3082,167
64274,3083,177
64657,3084,202
60357,3085,197
62642,3086,192
60654,3087,195
58881,3088,194
64879,3089,201
60516,3090,198
64084,3091,201
59952,3092,193
61174,3093,193
58549,3094,190
60399,3095,194
58498,3096,195
56323,3097,196
58882,3098,200
60906,3099,184
60473,3100,198
60759,3101,200
52395,3102,197
58550,3103,195
31390,3745,202
31303,5015,201
